"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 5.690762050","0.228701244","24.882952",0
"EFN1"," 0.274479747","0.124170387"," 2.210509",0.0278
"abs_med_lat","-0.008935917","0.007046682","-1.268103",0.2057
"fixer1","-0.098624528","0.198940444","-0.495749",0.6204
"woody","-0.109497019","0.071466003","-1.532155",0.1265
"uses_num_uses"," 0.023947466","0.010265084"," 2.332905",0.0203
"annual","-0.294625513","0.066474807","-4.432138",0
"EFN1:abs_med_lat","-0.004417812","0.004060425","-1.088017",0.2775
"abs_med_lat:fixer1"," 0.015725506","0.007377144"," 2.131652",0.0338
