"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 1.9137330946","0.174792369","10.9486078",0
"EFN1"," 0.1426230712","0.065805685"," 2.1673366",0.0303
"abs_med_lat"," 0.0185014616","0.003363136"," 5.5012535",0
"fixer1"," 0.3226187162","0.081021066"," 3.9819115",1e-04
"woody","-0.0765051185","0.033831067","-2.2613865",0.0238
"uses_num_uses"," 0.0783948716","0.006556586","11.9566607",0
"annual","-0.1267820465","0.036445861","-3.4786404",5e-04
"EFN1:abs_med_lat"," 0.0007417147","0.002752541"," 0.2694654",0.7876
"abs_med_lat:fixer1","-0.0155378623","0.003462255","-4.4877867",0
