"","Value","Std.Error","t.value","p.value"
"(Intercept)",7.177,0.228,31.463,0
"EFN1",0.032,0.08,0.399,0.6898
"abs_med_lat",-0.039,0.004,-10.137,0
"fixer1",-0.486,0.094,-5.143,0
"woody",0.094,0.039,2.435,0.0149
"uses_num_uses",-0.018,0.007,-2.414,0.0158
"annual",-0.311,0.041,-7.585,0
"EFN1:abs_med_lat",0,0.003,-0.127,0.8991
"abs_med_lat:fixer1",0.029,0.004,7.304,0
