"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 1.979830414","0.162156098","12.2094108",0
"EFN1"," 0.046230636","0.085161026"," 0.5428614",1
"abs_med_lat","-0.003149537","0.004848310","-0.6496154",1
"fixer1"," 0.104369337","0.138616223"," 0.7529374",0
"woody","-0.086453647","0.049036446","-1.7630488",0
"uses_num_uses"," 0.033633417","0.006996743"," 4.8070108",0
"annual"," 0.010920566","0.045052247"," 0.2423978",1
"EFN1:abs_med_lat","-0.001078451","0.002773114","-0.3888954",1
"abs_med_lat:fixer1"," 0.002678568","0.005076185"," 0.5276734",1
