"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.561091306","0.168347624","44.91356129",0
"EFN1"," 0.033488434","0.093738366"," 0.35725430",0.7212
"abs_med_lat","-0.027318441","0.005309893","-5.14481942",0
"fixer1"," 0.007423069","0.148253730"," 0.05007003",0.9601
"woody"," 0.034510703","0.053912171"," 0.64012825",0.5226
"uses_num_uses"," 0.027696996","0.007785166"," 3.55766288",4e-04
"annual","-0.064710493","0.050622293","-1.27830031",0.2021
"EFN1:abs_med_lat","-0.001392523","0.003074194","-0.45297160",0.6509
"abs_med_lat:fixer1"," 0.006794947","0.005557384"," 1.22268800",0.2224
