"","Value","Std.Error","t.value","p.value"
"(Intercept)",4.634,0.175,26.4256,0
"EFN1",0.037,0.055,0.6668,0.505
"abs_med_lat",-0.008,0.003,-3.0867,0.002
"fixer1",-0.305,0.066,-4.6061,0
"woody",0.149,0.027,5.5897,0
"uses_num_uses",-0.018,0.005,-3.61,0
"annual",-0.239,0.028,-8.5103,0
"EFN1:abs_med_lat",0.001,0.002,0.4077,0.684
"abs_med_lat:fixer1",0.017,0.003,6.2228,0
