"","Value","Std.Error","t.value","p.value"
"(Intercept)",24.212,1.322,18.317,0
"EFN1",-0.869,0.432,-2.014,0.0442
"abs_med_lat",-0.289,0.023,-12.858,0
"fixer1",0.348,0.546,0.638,0.5235
"woody",0.653,0.224,2.911,0.0036
"uses_num_uses",-0.091,0.043,-2.097,0.0361
"annual",3.11,0.237,13.095,0
"mean_wal_score",-4.647,0.563,-8.251,0
"EFN1:abs_med_lat",0.007,0.018,0.412,0.6802
"abs_med_lat:fixer1",-0.007,0.023,-0.316,0.7523
