"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.063704774","0.171726877","41.1333676",0
"EFN1"," 0.212013638","0.070905799"," 2.9900747",0.0028
"abs_med_lat","-0.030572980","0.003492964","-8.7527318",0
"fixer1","-0.050255244","0.084938742","-0.5916646",0.5541
"woody"," 0.091757317","0.034660327"," 2.6473298",0.0082
"uses_num_uses"," 0.094614330","0.006664424","14.1969254",0
"annual","-0.081945650","0.037633778","-2.1774495",0.0295
"EFN1:abs_med_lat","-0.001046551","0.002925905","-0.3576845",0.7206
"abs_med_lat:fixer1"," 0.011781501","0.003607955"," 3.2654237",0.0011
