"","Value","Std.Error","t.value","p.value"
"(Intercept)",5.63,0.163,34.572,0
"EFN1",0.141,0.058,2.429,0.0152
"abs_med_lat",-0.008,0.003,-2.98,0.0029
"fixer1",-0.201,0.068,-2.942,0.0033
"woody",0.057,0.028,2.017,0.0438
"uses_num_uses",0.052,0.005,9.649,0
"annual",-0.29,0.03,-9.709,0
"EFN1:abs_med_lat",0,0.002,0.075,0.9403
"abs_med_lat:fixer1",0.012,0.003,4.283,0
