"","Value","Std.Error","t.value","p.value"
"(Intercept)",7.85,0.154,50.989,0
"EFN1",0.133,0.05,2.658,0.0079
"abs_med_lat",-0.033,0.003,-12.618,0
"fixer1",-0.228,0.063,-3.61,3e-04
"woody",0.101,0.026,3.9,1e-04
"uses_num_uses",0.051,0.005,10.381,0
"annual",-0.155,0.027,-5.629,0
"EFN1:abs_med_lat",-0.002,0.002,-1.109,0.2676
"abs_med_lat:fixer1",0.018,0.003,6.631,0
