"","Value","Std.Error","t.value","p.value"
"(Intercept)",27.199,0.852,31.92,0
"EFN1",-0.422,0.312,-1.355,0.1757
"abs_med_lat",-0.2,0.016,-12.522,0
"fixer1",1.641,0.386,4.256,0
"woody",0.119,0.161,0.739,0.4597
"uses_num_uses",0.275,0.031,8.757,0
"annual",2.383,0.172,13.833,0
"mean_wal_score",0.83,0.406,2.044,0.0411
"EFN1:abs_med_lat",0.019,0.013,1.487,0.1373
"abs_med_lat:fixer1",-0.07,0.016,-4.245,0
