"","species","genus","fixer","woody","annual","uses_num_uses","Domatia","EFN"
"1","Abarema_auriculata","Abarema",1,1,0,0,0,0
"2","Abarema_barbouriana","Abarema",1,1,0,0,0,0
"3","Abarema_brachystachya","Abarema",1,1,0,0,0,0
"4","Abarema_campestris","Abarema",1,1,0,0,0,0
"5","Abarema_cochleata","Abarema",1,1,0,0,0,0
"6","Abarema_cochliocarpos","Abarema",1,1,0,0,0,0
"7","Abarema_filamentosa","Abarema",1,1,0,0,0,0
"8","Abarema_floribunda","Abarema",1,1,0,0,0,0
"10","Abarema_jupunba","Abarema",1,1,0,0,0,0
"13","Abarema_macradenia","Abarema",1,1,0,0,0,0
"14","Abarema_piresii","Abarema",1,1,0,0,0,0
"16","Abarema_turbinata","Abarema",1,1,0,0,0,0
"18","Abrus_fruticulosus","Abrus",1,1,0,1,0,0
"19","Abrus_precatorius","Abrus",1,1,0,7,0,0
"20","Acacia_abyssinica","Acacia",1,1,0,0,0,1
"22","Acacia_acinacea","Acacia",1,1,0,0,0,0
"23","Acacia_acradenia","Acacia",1,1,0,0,0,1
"26","Acacia_acuminata","Acacia",1,1,0,2,0,1
"27","Acacia_adenocalyx","Acacia",0,1,0,0,0,0
"29","Acacia_adsurgens","Acacia",1,1,0,0,0,0
"30","Acacia_adunca","Acacia",1,1,0,1,0,1
"31","Acacia_alata","Acacia",1,1,0,0,0,0
"32","Acacia_alleniana","Acacia",1,1,0,0,0,0
"34","Acacia_alpina","Acacia",1,1,0,0,0,0
"38","Acacia_amoena","Acacia",1,1,0,0,0,1
"39","Acacia_ampliceps","Acacia",1,1,0,0,0,0
"40","Acacia_amythethophylla","Acacia",1,1,0,0,0,0
"41","Acacia_anceps","Acacia",1,1,0,0,0,0
"42","Acacia_ancistrocarpa","Acacia",1,1,0,0,0,0
"44","Acacia_aneura","Acacia",1,1,0,1,0,1
"45","Acacia_angustissima","Acacia",1,1,0,0,0,1
"46","Acacia_arenaria","Acacia",1,1,0,0,0,0
"47","Acacia_argyrodendron","Acacia",1,1,0,0,0,0
"48","Acacia_aroma","Acacia",1,1,0,0,0,1
"50","Acacia_aspera","Acacia",1,1,0,0,0,0
"51","Acacia_ataxacantha","Acacia",0,1,0,0,0,1
"53","Acacia_aulacocarpa","Acacia",1,1,0,1,0,1
"54","Acacia_auriculiformis","Acacia",1,1,0,4,0,1
"56","Acacia_bahiensis","Acacia",1,1,0,0,0,0
"57","Acacia_baileyana","Acacia",1,1,0,2,0,1
"61","Acacia_benthamii","Acacia",1,1,0,0,0,0
"63","Acacia_berlandieri","Acacia",1,1,0,0,0,0
"66","Acacia_bidentata","Acacia",1,1,0,0,0,0
"67","Acacia_biflora","Acacia",1,1,0,0,0,0
"69","Acacia_binervata","Acacia",1,1,0,2,0,0
"70","Acacia_binervia","Acacia",1,1,0,0,0,0
"71","Acacia_bivenosa","Acacia",1,1,0,1,0,0
"72","Acacia_blakei","Acacia",1,1,0,0,0,1
"73","Acacia_blakelyi","Acacia",1,1,0,0,0,1
"74","Acacia_bonariensis","Acacia",0,1,0,0,0,1
"75","Acacia_borleae","Acacia",1,1,0,0,0,0
"76","Acacia_brachybotrya","Acacia",1,1,0,0,0,0
"77","Acacia_brachystachya","Acacia",1,1,0,0,0,1
"79","Acacia_brassii","Acacia",1,1,0,0,0,0
"81","Acacia_brownii","Acacia",1,1,0,0,0,0
"82","Acacia_brumalis","Acacia",1,1,0,0,0,0
"84","Acacia_burkei","Acacia",1,1,0,0,0,0
"85","Acacia_buxifolia","Acacia",1,1,0,1,0,0
"86","Acacia_bynoeana","Acacia",1,1,0,0,0,0
"87","Acacia_caesia","Acacia",1,1,0,3,0,1
"88","Acacia_caffra","Acacia",1,1,0,0,0,1
"89","Acacia_calamifolia","Acacia",1,1,0,1,0,1
"91","Acacia_cambagei","Acacia",1,1,0,1,0,1
"93","Acacia_cana","Acacia",1,1,0,0,0,1
"95","Acacia_cangaiensis","Acacia",1,1,0,0,0,0
"96","Acacia_cardiophylla","Acacia",1,1,0,1,0,0
"97","Acacia_catechu","Acacia",1,1,0,4,0,1
"98","Acacia_catenulata","Acacia",1,1,0,0,0,0
"100","Acacia_caven","Acacia",1,1,0,0,0,1
"101","Acacia_celastrifolia","Acacia",1,1,0,1,0,0
"103","Acacia_chariessa","Acacia",1,1,0,0,0,1
"107","Acacia_chrysotricha","Acacia",1,1,0,1,0,0
"108","Acacia_chundra","Acacia",1,1,0,3,0,1
"109","Acacia_cincinnata","Acacia",1,1,0,1,0,1
"110","Acacia_citrinoviridis","Acacia",1,1,0,0,0,0
"111","Acacia_cochliacantha","Acacia",1,1,0,0,0,1
"113","Acacia_cognata","Acacia",1,1,0,1,0,0
"114","Acacia_colei","Acacia",1,1,0,3,0,0
"115","Acacia_colletioides","Acacia",1,1,0,0,0,0
"116","Acacia_collinsii","Acacia",1,1,0,0,1,1
"117","Acacia_complanata","Acacia",1,1,0,1,0,1
"119","Acacia_concurrens","Acacia",1,1,0,1,0,1
"121","Acacia_confusa","Acacia",1,1,0,3,0,1
"123","Acacia_constricta","Acacia",1,1,0,0,0,1
"125","Acacia_coriacea","Acacia",1,1,0,0,0,1
"126","Acacia_cornigera","Acacia",1,1,0,1,1,1
"127","Acacia_cowleana","Acacia",1,1,0,0,0,0
"129","Acacia_crassicarpa","Acacia",1,1,0,1,0,0
"131","Acacia_cultriformis","Acacia",1,1,0,1,0,1
"133","Acacia_cuthbertsonii","Acacia",1,1,0,0,0,0
"135","Acacia_cyclops","Acacia",1,1,0,4,0,1
"136","Acacia_cyperophylla","Acacia",1,1,0,0,0,0
"137","Acacia_dangarensis","Acacia",1,1,0,0,0,0
"138","Acacia_davyi","Acacia",1,1,0,0,0,0
"140","Acacia_dealbata","Acacia",1,1,0,6,0,1
"141","Acacia_deanei","Acacia",1,1,0,1,0,1
"142","Acacia_decora","Acacia",1,1,0,0,0,1
"143","Acacia_decurrens","Acacia",1,1,0,4,0,1
"144","Acacia_dictyophleba","Acacia",1,1,0,0,0,1
"145","Acacia_difficilis","Acacia",1,1,0,0,0,0
"147","Acacia_dimidiata","Acacia",1,1,0,0,0,0
"149","Acacia_dolichostachya","Acacia",1,1,0,0,0,1
"150","Acacia_doratoxylon","Acacia",1,1,0,0,0,1
"152","Acacia_drummondii","Acacia",1,1,0,0,0,0
"153","Acacia_dudgeoni","Acacia",1,1,0,0,0,0
"154","Acacia_dunnii","Acacia",1,1,0,0,0,0
"155","Acacia_ehrenbergiana","Acacia",1,1,0,0,0,0
"156","Acacia_elata","Acacia",1,1,0,1,0,0
"157","Acacia_elatior","Acacia",1,1,0,0,1,0
"158","Acacia_elongata","Acacia",1,1,0,0,0,1
"160","Acacia_eremaea","Acacia",1,1,0,0,0,1
"161","Acacia_ericifolia","Acacia",1,1,0,0,0,0
"162","Acacia_erinacea","Acacia",1,1,0,0,0,0
"163","Acacia_eriocarpa","Acacia",0,1,0,0,0,0
"164","Acacia_erubescens","Acacia",1,1,0,0,0,1
"165","Acacia_estrophiolata","Acacia",1,1,0,1,0,0
"166","Acacia_etbaica","Acacia",1,1,0,0,0,0
"167","Acacia_excelsa","Acacia",0,1,0,2,0,1
"168","Acacia_extensa","Acacia",1,1,0,0,0,0
"169","Acacia_exuvialis","Acacia",1,1,0,0,0,0
"170","Acacia_falcata","Acacia",1,1,0,1,0,1
"171","Acacia_falciformis","Acacia",1,1,0,2,0,1
"172","Acacia_farnesiana","Acacia",1,1,0,9,0,1
"174","Acacia_filicifolia","Acacia",1,1,0,1,0,0
"175","Acacia_filifolia","Acacia",1,1,0,0,0,0
"176","Acacia_fimbriata","Acacia",1,1,0,1,0,1
"177","Acacia_fleckii","Acacia",1,1,0,0,0,0
"178","Acacia_flexifolia","Acacia",1,1,0,0,0,0
"179","Acacia_floribunda","Acacia",1,1,0,1,0,1
"180","Acacia_fulva","Acacia",1,1,0,0,0,0
"181","Acacia_galpinii","Acacia",1,1,0,0,0,0
"182","Acacia_gaumeri","Acacia",1,1,0,0,0,1
"183","Acacia_genistifolia","Acacia",1,1,0,0,0,0
"185","Acacia_georginae","Acacia",1,1,0,2,0,0
"186","Acacia_gerrardii","Acacia",1,1,0,0,0,1
"187","Acacia_gittinsii","Acacia",1,1,0,0,0,0
"188","Acacia_gladiiformis","Acacia",1,1,0,1,0,0
"190","Acacia_glaucocarpa","Acacia",1,1,0,1,0,0
"191","Acacia_glaucoptera","Acacia",1,1,0,0,0,0
"194","Acacia_goetzei","Acacia",1,1,0,0,0,0
"195","Acacia_gonocarpa","Acacia",1,1,0,0,0,0
"196","Acacia_gourmaensis","Acacia",1,1,0,0,0,0
"197","Acacia_grandicornuta","Acacia",1,1,0,0,0,0
"199","Acacia_granitica","Acacia",1,1,0,0,0,0
"200","Acacia_greggii","Acacia",0,1,0,1,0,1
"201","Acacia_gummifera","Acacia",1,1,0,0,0,0
"202","Acacia_haematoxylon","Acacia",1,1,0,0,0,0
"203","Acacia_hakeoides","Acacia",1,1,0,1,0,0
"204","Acacia_harpophylla","Acacia",1,1,0,0,0,0
"205","Acacia_harveyi","Acacia",1,1,0,0,0,0
"206","Acacia_hastulata","Acacia",1,1,0,0,0,0
"207","Acacia_havilandiorum","Acacia",1,1,0,1,0,0
"209","Acacia_hebeclada","Acacia",1,1,0,0,0,0
"210","Acacia_hemsleyi","Acacia",1,1,0,1,0,0
"211","Acacia_hereroensis","Acacia",1,1,0,0,0,0
"212","Acacia_heterophylla","Acacia",1,1,0,1,0,0
"213","Acacia_hilliana","Acacia",1,1,0,0,0,0
"215","Acacia_hippuroides","Acacia",1,1,0,0,0,0
"216","Acacia_hockii","Acacia",1,1,0,0,0,0
"217","Acacia_holosericea","Acacia",1,1,0,2,0,0
"218","Acacia_horrida","Acacia",1,1,0,0,1,0
"219","Acacia_horridula","Acacia",1,1,0,0,0,0
"222","Acacia_huegelii","Acacia",1,1,0,0,0,0
"224","Acacia_implexa","Acacia",1,1,0,2,0,0
"227","Acacia_intsia","Acacia",1,1,0,0,0,0
"228","Acacia_irrorata","Acacia",1,1,0,1,0,0
"229","Acacia_iteaphylla","Acacia",1,1,0,1,0,1
"230","Acacia_ixiophylla","Acacia",1,1,0,1,0,0
"232","Acacia_jacquemontii","Acacia",1,1,0,6,0,0
"234","Acacia_jonesii","Acacia",1,1,0,0,0,0
"235","Acacia_julifera","Acacia",1,1,0,0,0,0
"236","Acacia_juncifolia","Acacia",1,1,0,0,0,0
"238","Acacia_karroo","Acacia",1,1,0,7,0,1
"239","Acacia_kempeana","Acacia",1,1,0,2,0,0
"240","Acacia_kirkii","Acacia",1,1,0,0,0,0
"241","Acacia_koa","Acacia",1,1,0,0,0,1
"242","Acacia_koaia","Acacia",1,1,0,0,0,1
"243","Acacia_kraussiana","Acacia",1,1,0,0,0,0
"245","Acacia_lachnophylla","Acacia",1,1,0,0,0,0
"246","Acacia_latescens","Acacia",1,1,0,0,0,0
"247","Acacia_latifolia","Acacia",1,1,0,1,0,1
"248","Acacia_leiocalyx","Acacia",1,1,0,0,0,1
"249","Acacia_lenticularis","Acacia",1,1,0,2,0,0
"250","Acacia_leptocarpa","Acacia",1,1,0,0,0,0
"251","Acacia_leptoneura","Acacia",1,1,0,0,0,0
"253","Acacia_leucoclada","Acacia",1,1,0,0,0,0
"254","Acacia_leucophloea","Acacia",1,1,0,7,1,1
"255","Acacia_ligulata","Acacia",1,1,0,1,0,1
"256","Acacia_linarioides","Acacia",1,1,0,0,0,0
"257","Acacia_linearifolia","Acacia",1,1,0,0,0,0
"258","Acacia_lineata","Acacia",1,1,0,1,0,1
"259","Acacia_linifolia","Acacia",1,1,0,0,0,0
"260","Acacia_loderi","Acacia",0,1,0,0,0,0
"261","Acacia_longifolia","Acacia",1,1,0,1,0,1
"262","Acacia_longispicata","Acacia",1,1,0,0,0,0
"263","Acacia_longissima","Acacia",1,1,0,0,0,1
"265","Acacia_luederitzii","Acacia",1,1,0,0,1,0
"266","Acacia_lunata","Acacia",1,1,0,0,0,0
"267","Acacia_lysiphloia","Acacia",1,1,0,0,0,0
"268","Acacia_maconochieana","Acacia",1,1,0,0,0,0
"269","Acacia_macracantha","Acacia",1,1,0,0,0,1
"271","Acacia_macrostachya","Acacia",0,1,0,0,0,0
"273","Acacia_mangium","Acacia",1,1,0,3,0,1
"275","Acacia_martii","Acacia",1,1,0,0,0,0
"277","Acacia_mearnsii","Acacia",1,1,0,5,0,1
"279","Acacia_melanoxylon","Acacia",1,1,0,4,0,1
"280","Acacia_melleodora","Acacia",1,1,0,0,0,0
"281","Acacia_mellifera","Acacia",1,1,0,0,0,0
"283","Acacia_microbotrya","Acacia",1,1,0,0,0,1
"286","Acacia_mimula","Acacia",1,1,0,0,0,0
"287","Acacia_modesta","Acacia",1,1,0,3,0,1
"288","Acacia_monticola","Acacia",1,1,0,0,0,0
"289","Acacia_montigena","Acacia",1,1,0,0,0,0
"290","Acacia_mooreana","Acacia",1,1,0,0,0,0
"291","Acacia_mucronata","Acacia",1,1,0,0,0,1
"292","Acacia_multisiliqua","Acacia",1,1,0,1,0,0
"294","Acacia_mutabilis","Acacia",1,1,0,0,0,0
"295","Acacia_myrtifolia","Acacia",1,1,0,1,0,1
"296","Acacia_nanodealbata","Acacia",1,1,0,0,0,0
"297","Acacia_nebrownii","Acacia",1,1,0,0,0,0
"298","Acacia_negrii","Acacia",1,1,0,0,0,0
"299","Acacia_neriifolia","Acacia",1,1,0,0,0,1
"300","Acacia_nervosa","Acacia",1,1,0,0,0,0
"301","Acacia_neurocarpa","Acacia",1,1,0,0,0,0
"302","Acacia_nigrescens","Acacia",1,1,0,0,0,0
"303","Acacia_nigricans","Acacia",1,1,0,0,0,0
"304","Acacia_nilotica","Acacia",1,1,0,6,0,1
"306","Acacia_notabilis","Acacia",1,1,0,0,0,0
"307","Acacia_obliquinervea","Acacia",1,1,0,1,0,0
"309","Acacia_oerfota","Acacia",1,1,0,2,0,0
"310","Acacia_olgana","Acacia",1,1,0,0,0,0
"311","Acacia_omalophylla","Acacia",1,1,0,2,0,1
"312","Acacia_oncinocarpa","Acacia",1,1,0,0,0,0
"313","Acacia_oshanesii","Acacia",1,1,0,1,0,1
"314","Acacia_oswaldii","Acacia",1,1,0,2,0,0
"316","Acacia_oxycedrus","Acacia",1,1,0,1,0,0
"318","Acacia_papyrocarpa","Acacia",1,1,0,0,0,0
"319","Acacia_paradoxa","Acacia",1,1,0,2,0,0
"323","Acacia_parvipinnula","Acacia",1,1,0,0,0,0
"324","Acacia_patagiata","Acacia",1,1,0,0,0,0
"325","Acacia_pellita","Acacia",1,1,0,0,0,0
"326","Acacia_pendula","Acacia",1,1,0,1,0,0
"328","Acacia_pennata","Acacia",1,1,0,4,0,1
"329","Acacia_pennatula","Acacia",1,1,0,0,0,1
"331","Acacia_pentadenia","Acacia",1,1,0,1,0,0
"332","Acacia_pentagona","Acacia",0,1,0,0,0,0
"333","Acacia_permixta","Acacia",1,1,0,0,0,0
"336","Acacia_planifrons","Acacia",1,1,0,2,0,0
"337","Acacia_platycarpa","Acacia",1,1,0,0,0,0
"338","Acacia_plectocarpa","Acacia",1,1,0,0,0,0
"340","Acacia_podalyriifolia","Acacia",1,1,0,1,0,1
"341","Acacia_polyacantha","Acacia",1,1,0,2,0,1
"342","Acacia_polybotrya","Acacia",1,1,0,1,0,0
"345","Acacia_polystachya","Acacia",1,1,0,0,0,0
"347","Acacia_prasinata","Acacia",1,1,0,0,0,0
"348","Acacia_pravissima","Acacia",1,1,0,1,0,1
"350","Acacia_prominens","Acacia",1,1,0,1,0,0
"351","Acacia_pteridifolia","Acacia",0,1,0,0,0,0
"352","Acacia_pubescens","Acacia",1,1,0,1,0,1
"353","Acacia_pulchella","Acacia",1,1,0,1,0,1
"354","Acacia_pycnantha","Acacia",1,1,0,4,0,1
"355","Acacia_pyrifolia","Acacia",1,1,0,1,0,0
"356","Acacia_redolens","Acacia",1,1,0,1,0,0
"357","Acacia_reficiens","Acacia",1,1,0,0,0,0
"358","Acacia_rehmanniana","Acacia",1,1,0,0,0,0
"359","Acacia_restiacea","Acacia",1,1,0,0,0,0
"360","Acacia_retinodes","Acacia",1,1,0,1,0,1
"361","Acacia_richii","Acacia",1,1,0,2,0,0
"362","Acacia_rigens","Acacia",1,1,0,1,0,0
"364","Acacia_robusta","Acacia",1,1,0,1,0,1
"367","Acacia_rossei","Acacia",1,1,0,0,0,0
"368","Acacia_rostellifera","Acacia",1,1,0,0,0,0
"369","Acacia_rothii","Acacia",1,1,0,0,0,0
"370","Acacia_rovumae","Acacia",1,1,0,1,0,0
"371","Acacia_rubida","Acacia",1,1,0,2,0,1
"373","Acacia_rugata","Acacia",0,1,0,0,0,0
"374","Acacia_sakalava","Acacia",0,1,0,1,0,0
"375","Acacia_salicina","Acacia",1,1,0,1,0,0
"376","Acacia_saligna","Acacia",1,1,0,6,0,1
"377","Acacia_schaffneri","Acacia",1,1,0,0,0,1
"378","Acacia_schottii","Acacia",1,1,0,0,0,1
"379","Acacia_schweinfurthii","Acacia",0,1,0,0,0,0
"380","Acacia_sclerosperma","Acacia",1,1,0,0,0,0
"382","Acacia_senegal","Acacia",1,1,0,7,0,0
"384","Acacia_seyal","Acacia",1,1,0,5,1,0
"385","Acacia_shirleyi","Acacia",1,1,0,2,0,1
"386","Acacia_silvestris","Acacia",1,1,0,2,0,0
"387","Acacia_simsii","Acacia",1,1,0,0,0,0
"388","Acacia_sinuata","Acacia",1,1,0,3,0,0
"393","Acacia_sparsiflora","Acacia",1,1,0,2,0,0
"394","Acacia_spathulifolia","Acacia",1,1,0,0,0,0
"395","Acacia_spectabilis","Acacia",1,1,0,1,0,0
"397","Acacia_spinescens","Acacia",1,1,0,0,0,0
"398","Acacia_spinosissima","Acacia",1,1,0,0,0,0
"399","Acacia_squamata","Acacia",1,1,0,0,0,0
"400","Acacia_stenophylla","Acacia",1,1,0,1,0,1
"401","Acacia_stenoptera","Acacia",1,1,0,0,0,0
"402","Acacia_stipuligera","Acacia",1,1,0,0,0,0
"404","Acacia_stricta","Acacia",1,1,0,1,0,0
"405","Acacia_stuhlmannii","Acacia",1,1,0,0,0,0
"406","Acacia_suaveolens","Acacia",1,1,0,1,0,1
"408","Acacia_subcaerulea","Acacia",1,1,0,0,0,0
"410","Acacia_sulcata","Acacia",1,1,0,0,0,0
"411","Acacia_swazica","Acacia",1,1,0,0,0,0
"414","Acacia_teniana","Acacia",1,1,0,0,0,0
"416","Acacia_tenuispina","Acacia",1,1,0,0,0,0
"417","Acacia_tenuissima","Acacia",1,1,0,1,0,0
"418","Acacia_tephrina","Acacia",1,1,0,0,0,0
"419","Acacia_terminalis","Acacia",1,1,0,1,0,1
"420","Acacia_tetragonocarpa","Acacia",1,1,0,0,0,0
"421","Acacia_tetragonophylla","Acacia",1,1,0,2,0,1
"422","Acacia_thomsonii","Acacia",1,1,0,0,0,0
"424","Acacia_tomentosa","Acacia",1,1,0,1,0,0
"425","Acacia_tortilis","Acacia",1,1,0,7,0,0
"427","Acacia_torulosa","Acacia",1,1,0,0,0,0
"428","Acacia_trachycarpa","Acacia",1,1,0,2,0,0
"429","Acacia_trachyphloia","Acacia",1,1,0,1,0,0
"430","Acacia_translucens","Acacia",1,1,0,0,0,0
"431","Acacia_trineura","Acacia",1,1,0,0,0,0
"432","Acacia_triptera","Acacia",1,1,0,0,0,1
"433","Acacia_tumida","Acacia",1,1,0,3,0,0
"435","Acacia_ulicifolia","Acacia",1,1,0,0,0,0
"436","Acacia_umbellata","Acacia",1,1,0,0,0,0
"437","Acacia_uncifera","Acacia",1,1,0,0,0,0
"439","Acacia_urophylla","Acacia",1,1,0,0,0,0
"440","Acacia_velutina","Acacia",0,1,0,0,0,1
"441","Acacia_verniciflua","Acacia",1,1,0,1,0,0
"442","Acacia_verticillata","Acacia",1,1,0,1,0,1
"443","Acacia_vestita","Acacia",1,1,0,1,0,0
"444","Acacia_victoriae","Acacia",1,1,0,3,0,1
"445","Acacia_villosa","Acacia",1,1,0,0,0,1
"446","Acacia_visco","Acacia",1,1,0,0,0,0
"447","Acacia_volubilis","Acacia",1,1,0,0,0,0
"448","Acacia_welwitschii","Acacia",1,1,0,0,0,0
"450","Acacia_wilhelmiana","Acacia",1,1,0,0,0,0
"451","Acacia_willdenowiana","Acacia",1,1,0,0,0,0
"452","Acacia_xanthophloea","Acacia",1,1,0,0,0,0
"453","Acacia_yirrkallensis","Acacia",1,1,0,0,0,0
"454","Acacia_zanzibarica","Acacia",1,1,0,0,1,0
"456","Acmispon_americanus","Acmispon",1,0,1,0,0,0
"457","Acmispon_brachycarpus","Acmispon",1,0,1,0,0,0
"458","Acmispon_maritimus","Acmispon",1,0,1,0,0,0
"459","Acmispon_parviflorus","Acmispon",1,0,1,0,0,0
"460","Acmispon_subpinnatus","Acmispon",1,0,1,0,0,0
"461","Acmispon_wrangelianus","Acmispon",1,0,1,0,0,0
"462","Acosmium_bijugum","Acosmium",1,0.679324895,0.123931624,0,0,0
"463","Acosmium_lentiscifolium","Acosmium",0,0.679324895,0.123931624,0,0,0
"464","Acosmium_nitens","Acosmium",1,0.679324895,0.123931624,0,0,0
"465","Acosmium_praeclarum","Acosmium",1,0.679324895,0.123931624,0,0,0
"466","Acrocarpus_fraxinifolius","Acrocarpus",0,1,0,2,0,0
"467","Adenanthera_aglaosperma","Adenanthera",0,1,0,0,0,0
"469","Adenanthera_intermedia","Adenanthera",1,1,0,1,0,0
"472","Adenocarpus_complicatus","Adenocarpus",1,1,0,1,0,0
"473","Adenocarpus_decorticans","Adenocarpus",1,1,0,1,0,0
"474","Adenocarpus_foliolosus","Adenocarpus",1,1,0,1,0,0
"475","Adenodolichos_punctatus","Adenodolichos",1,1,0,0,0,0
"476","Adesmia_bicolor","Adesmia",1,0,0,0,0,0
"477","Adesmia_capitellata","Adesmia",1,0,1,0,0,0
"478","Adesmia_glomerula","Adesmia",1,0,0,0,0,0
"479","Adesmia_latifolia","Adesmia",1,0,0,0,0,0
"480","Adesmia_muricata","Adesmia",1,0,0,0,0,0
"481","Adesmia_punctata","Adesmia",1,0,0,0,0,0
"482","Adesmia_retusa","Adesmia",1,0,1,0,0,0
"483","Aeschynomene_abyssinica","Aeschynomene",1,1,0,0,0,0
"484","Aeschynomene_afraspera","Aeschynomene",1,1,1,1,0,0
"485","Aeschynomene_americana","Aeschynomene",1,1,0,4,0,0
"486","Aeschynomene_aphylla","Aeschynomene",1,1,0,0,0,0
"487","Aeschynomene_aspera","Aeschynomene",1,1,0,5,0,0
"488","Aeschynomene_bracteosa","Aeschynomene",1,1,0,0,0,0
"489","Aeschynomene_brasiliana","Aeschynomene",1,0,0,0,0,0
"490","Aeschynomene_brevifolia","Aeschynomene",1,0,0,1,0,0
"491","Aeschynomene_ciliata","Aeschynomene",1,0,0,0,0,0
"492","Aeschynomene_crassicaulis","Aeschynomene",1,0,0,0,0,0
"493","Aeschynomene_cristata","Aeschynomene",1,1,0,0,0,0
"494","Aeschynomene_denticulata","Aeschynomene",1,1,0,0,0,0
"495","Aeschynomene_elaphroxylon","Aeschynomene",1,1,0,3,0,0
"496","Aeschynomene_evenia","Aeschynomene",1,0,0,0,0,0
"497","Aeschynomene_falcata","Aeschynomene",1,0,1,0,0,0
"498","Aeschynomene_filosa","Aeschynomene",1,0,0,0,0,0
"499","Aeschynomene_fluitans","Aeschynomene",1,0,0,0,0,0
"500","Aeschynomene_fluminensis","Aeschynomene",1,1,0,0,0,0
"501","Aeschynomene_fulgida","Aeschynomene",1,1,0,0,0,0
"502","Aeschynomene_gazensis","Aeschynomene",1,1,0,0,0,0
"503","Aeschynomene_grandistipulata","Aeschynomene",1,1,0,0,0,0
"504","Aeschynomene_histrix","Aeschynomene",1,0,0,0,0,0
"505","Aeschynomene_indica","Aeschynomene",1,1,0,8,0,0
"506","Aeschynomene_inyangensis","Aeschynomene",1,1,0,0,0,0
"507","Aeschynomene_lateritia","Aeschynomene",1,0,1,0,0,0
"508","Aeschynomene_laxiflora","Aeschynomene",1,0,0,0,0,0
"509","Aeschynomene_mediocris","Aeschynomene",1,0,1,0,0,0
"510","Aeschynomene_megalophylla","Aeschynomene",1,1,0,0,0,0
"511","Aeschynomene_mimosifolia","Aeschynomene",1,1,0,0,0,0
"512","Aeschynomene_minutiflora","Aeschynomene",1,0,1,0,0,0
"513","Aeschynomene_nilotica","Aeschynomene",1,1,1,1,0,0
"514","Aeschynomene_nodulosa","Aeschynomene",1,1,0,0,0,0
"515","Aeschynomene_nyassana","Aeschynomene",1,1,0,0,0,0
"516","Aeschynomene_nyikensis","Aeschynomene",1,1,0,0,0,0
"517","Aeschynomene_paniculata","Aeschynomene",1,1,0,0,0,0
"518","Aeschynomene_pfundii","Aeschynomene",1,1,0,0,0,0
"519","Aeschynomene_pratensis","Aeschynomene",1,1,0,0,0,0
"520","Aeschynomene_rehmannii","Aeschynomene",1,0,0,0,0,0
"521","Aeschynomene_rudis","Aeschynomene",1,0,0,0,0,0
"522","Aeschynomene_scabra","Aeschynomene",1,0,0,0,0,0
"523","Aeschynomene_schimperi","Aeschynomene",1,1,0,0,0,0
"524","Aeschynomene_schliebenii","Aeschynomene",1,1,0,0,0,0
"525","Aeschynomene_sensitiva","Aeschynomene",1,1,0,0,0,0
"526","Aeschynomene_tambacoundensis","Aeschynomene",1,0,1,0,0,0
"527","Aeschynomene_trigonocarpa","Aeschynomene",1,1,0,0,0,0
"528","Aeschynomene_uniflora","Aeschynomene",1,1,0,1,0,0
"529","Aeschynomene_virginica","Aeschynomene",1,0,1,0,0,0
"530","Aeschynomene_viscidula","Aeschynomene",1,0,0,0,0,0
"531","Affonsea_aptera","Affonsea",1,1,0,0,0,0
"532","Affonsea_bahiensis","Affonsea",1,1,0,0,0,0
"533","Affonsea_bullata","Affonsea",1,1,0,0,0,0
"536","Afzelia_rhomboidea","Afzelia",0,1,0,1,0,0
"537","Aganope_gabonica","Aganope",1,1,0,0,0,0
"538","Albizia_acle","Albizia",1,1,0,3,0,0
"539","Albizia_adinocephala","Albizia",1,1,0,0,0,1
"540","Albizia_amara","Albizia",1,1,0,3,0,1
"541","Albizia_anthelmintica","Albizia",1,1,0,1,0,0
"542","Albizia_antunesiana","Albizia",1,1,0,2,0,0
"543","Albizia_brevifolia","Albizia",1,1,0,0,0,0
"544","Albizia_carbonaria","Albizia",1,1,0,1,0,0
"546","Albizia_chevalieri","Albizia",1,1,0,0,0,0
"547","Albizia_chinensis","Albizia",1,1,0,3,0,1
"549","Albizia_coriaria","Albizia",1,1,0,2,0,0
"551","Albizia_edwallii","Albizia",1,1,0,0,0,0
"552","Albizia_elegans","Albizia",1,1,0,0,0,0
"554","Albizia_forbesii","Albizia",1,1,0,0,0,0
"555","Albizia_guachapele","Albizia",1,1,0,1,0,1
"556","Albizia_gummifera","Albizia",1,1,0,1,0,0
"557","Albizia_harveyi","Albizia",1,1,0,0,0,0
"559","Albizia_inundata","Albizia",1,1,0,0,0,0
"560","Albizia_julibrissin","Albizia",1,1,0,5,0,1
"561","Albizia_kalkora","Albizia",1,1,0,0,0,1
"562","Albizia_lebbeck","Albizia",1,1,0,9,0,1
"563","Albizia_lebbekoides","Albizia",1,1,0,5,0,1
"565","Albizia_lucidior","Albizia",1,1,0,3,0,0
"567","Albizia_multiflora","Albizia",1,1,0,0,0,0
"568","Albizia_niopoides","Albizia",1,1,0,0,0,0
"569","Albizia_odoratissima","Albizia",1,1,0,6,0,0
"570","Albizia_pedicellaris","Albizia",1,1,0,0,0,1
"572","Albizia_petersiana","Albizia",1,1,0,0,0,0
"573","Albizia_polycephala","Albizia",1,1,0,0,0,0
"574","Albizia_procera","Albizia",1,1,0,5,0,1
"575","Albizia_retusa","Albizia",1,1,0,1,0,1
