"","species","intrdcd.x","mean_wal_score"
"1","Abrus_fruticulosus",0,0.0894106666666667
"2","Abrus_fruticulosus",1,0.141491525423729
"3","Abrus_precatorius",0,0.145252351738241
"4","Abrus_precatorius",1,0.0932668112798265
"5","Acacia_acinacea",0,0.0168085341180799
"6","Acacia_acradenia",0,0.0377917981072555
"7","Acacia_acuminata",0,0.053
"8","Acacia_adsurgens",0,0.0267469287469288
"9","Acacia_adunca",0,0.038879746835443
"10","Acacia_alata",0,0.053
"11","Acacia_alleniana",0,0.021985119047619
"12","Acacia_alpina",0,0.0257413793103448
"13","Acacia_amoena",0,0.03064
"14","Acacia_ampliceps",0,0.0422140077821012
"15","Acacia_anceps",0,0.0153928571428571
"16","Acacia_ancistrocarpa",0,0.031436
"17","Acacia_aneura",0,0.0271092964824121
"18","Acacia_argyrodendron",0,0.043
"19","Acacia_aspera",0,0.0197837837837838
"20","Acacia_aulacocarpa",0,0.0446750902527076
"21","Acacia_auriculiformis",0,0.0517728937728931
"22","Acacia_auriculiformis",1,0.235346686746989
"23","Acacia_baileyana",0,0.036
"24","Acacia_baileyana",1,0.0509441389290886
"25","Acacia_bidentata",0,0.053
"26","Acacia_biflora",0,0.053
"27","Acacia_binervata",0,0.0361136203246295
"28","Acacia_binervia",0,0.0357724687144482
"29","Acacia_bivenosa",0,0.0367906712172924
"30","Acacia_blakei",0,0.0390425196850394
"31","Acacia_blakelyi",0,0.053
"32","Acacia_brachybotrya",0,0.0196426666666666
"33","Acacia_brachystachya",0,0.0295412293853073
"34","Acacia_brassii",0,0.043
"35","Acacia_brownii",0,0.0320570605187319
"36","Acacia_brumalis",0,0.053
"37","Acacia_buxifolia",0,0.035030612244898
"38","Acacia_bynoeana",0,0.036
"39","Acacia_calamifolia",0,0.017835403726708
"40","Acacia_cambagei",0,0.0328689516129032
"41","Acacia_cana",0,0.0368525641025641
"42","Acacia_cangaiensis",0,0.036
"43","Acacia_cardiophylla",0,0.036
"44","Acacia_catenulata",0,0.0450394088669951
"45","Acacia_celastrifolia",0,0.053
"46","Acacia_chrysotricha",0,0.036
"47","Acacia_cincinnata",0,0.043
"48","Acacia_citrinoviridis",0,0.053
"49","Acacia_cognata",0,0.0259137931034482
"50","Acacia_colei",0,0.0386442006269592
"51","Acacia_colletioides",0,0.0312690829214718
"52","Acacia_complanata",0,0.040518779342723
"53","Acacia_concurrens",0,0.0383878852284803
"54","Acacia_confusa",0,0.114385638297872
"55","Acacia_confusa",1,0.295706790123457
"56","Acacia_coriacea",0,0.046283185840708
"57","Acacia_cowleana",0,0.0286264090177134
"58","Acacia_crassicarpa",0,0.0900386740331494
"59","Acacia_cultriformis",0,0.0365049751243781
"60","Acacia_cultriformis",1,0.213090909090909
"61","Acacia_cuthbertsonii",0,0.0356818181818181
"62","Acacia_cyclops",0,0.0292608695652174
"63","Acacia_cyclops",1,0.190334767641997
"64","Acacia_cyperophylla",0,0.0313260869565217
"65","Acacia_dangarensis",0,0.036
"66","Acacia_dealbata",0,0.0207688844684088
"67","Acacia_dealbata",1,0.101590013999067
"68","Acacia_deanei",0,0.0355884282731882
"69","Acacia_deanei",1,0.516
"70","Acacia_decora",0,0.0366657398826073
"71","Acacia_decurrens",0,0.036
"72","Acacia_decurrens",1,0.135463730569947
"73","Acacia_dictyophleba",0,0.0302727272727272
"74","Acacia_difficilis",0,0.0205931603773585
"75","Acacia_dimidiata",0,0.0204720149253731
"76","Acacia_doratoxylon",0,0.0351031390134529
"77","Acacia_drummondii",0,0.053
"78","Acacia_dunnii",0,0.0357611940298507
"79","Acacia_elata",0,0.036
"80","Acacia_elata",1,0.0779337016574587
"81","Acacia_elongata",0,0.036
"82","Acacia_eremaea",0,0.053
"83","Acacia_ericifolia",0,0.053
"84","Acacia_erinacea",0,0.0524
"85","Acacia_estrophiolata",0,0.0197616974972797
"86","Acacia_excelsa",0,0.0394342541436464
"87","Acacia_extensa",0,0.053
"88","Acacia_falcata",0,0.037058583106267
"89","Acacia_falciformis",0,0.0314787954830613
"90","Acacia_filicifolia",0,0.0360833953834698
"91","Acacia_filifolia",0,0.053
"92","Acacia_fimbriata",0,0.0385463817387081
"93","Acacia_fimbriata",1,0.23
"94","Acacia_flexifolia",0,0.0301738035264483
"95","Acacia_floribunda",0,0.032036231884058
"96","Acacia_floribunda",1,0.0175714285714286
"97","Acacia_fulva",0,0.036
"98","Acacia_genistifolia",0,0.0199617516629714
"99","Acacia_georginae",0,0.0246356736242884
"100","Acacia_gittinsii",0,0.043
"101","Acacia_gladiiformis",0,0.036
"102","Acacia_glaucocarpa",0,0.043
"103","Acacia_glaucoptera",0,0.053
"104","Acacia_gonocarpa",0,0.0229173913043478
"105","Acacia_granitica",0,0.0382941176470588
"106","Acacia_hakeoides",0,0.024504872563718
"107","Acacia_harpophylla",0,0.0402298424467099
"108","Acacia_harveyi",0,0.053
"109","Acacia_hastulata",0,0.053
"110","Acacia_havilandiorum",0,0.029876993166287
"111","Acacia_hemsleyi",0,0.0360327868852459
"112","Acacia_heterophylla",0,0.035
"113","Acacia_heterophylla",1,0.202
"114","Acacia_hilliana",0,0.0314931034482759
"115","Acacia_hippuroides",0,0.053
"116","Acacia_holosericea",0,0.0297246161466074
"117","Acacia_holosericea",1,0.295
"118","Acacia_horridula",0,0.053
"119","Acacia_huegelii",0,0.053
"120","Acacia_implexa",0,0.0293013651087463
"121","Acacia_implexa",1,0.23
"122","Acacia_irrorata",0,0.0363845448992059
"123","Acacia_iteaphylla",0,0.014
"124","Acacia_iteaphylla",1,0.0233725099601593
"125","Acacia_ixiophylla",0,0.0388329764453961
"126","Acacia_jonesii",0,0.036
"127","Acacia_julifera",0,0.043
"128","Acacia_juncifolia",0,0.041
"129","Acacia_kempeana",0,0.0228457169900616
"130","Acacia_koa",0,0.032
"131","Acacia_lachnophylla",0,0.053
"132","Acacia_latescens",0,0.02
"133","Acacia_latifolia",0,0.026203488372093
"134","Acacia_leiocalyx",0,0.0401000415110005
"135","Acacia_leptocarpa",0,0.0404939759036144
"136","Acacia_leucoclada",0,0.0372926136363636
"137","Acacia_ligulata",0,0.0189050811573748
"138","Acacia_linarioides",0,0.02
"139","Acacia_linearifolia",0,0.036
"140","Acacia_lineata",0,0.0310113636363636
"141","Acacia_linifolia",0,0.036
"142","Acacia_loderi",0,0.0321286549707602
"143","Acacia_longifolia",0,0.0280076096687555
"144","Acacia_longifolia",1,0.0663536025699856
"145","Acacia_longispicata",0,0.043
"146","Acacia_longissima",0,0.0368098510882016
"147","Acacia_lunata",0,0.036
"148","Acacia_lysiphloia",0,0.0241950439648281
"149","Acacia_maconochieana",0,0.0321224489795918
"150","Acacia_mangium",0,0.136820083682008
"151","Acacia_mangium",1,0.346655462184874
"152","Acacia_mearnsii",0,0.020478751660027
"153","Acacia_mearnsii",1,0.168968112244899
"154","Acacia_melanoxylon",0,0.0203797062234244
"155","Acacia_melanoxylon",1,0.135478855079937
"156","Acacia_melleodora",0,0.0274223300970874
"157","Acacia_microbotrya",0,0.053
"158","Acacia_mimula",0,0.02
"159","Acacia_monticola",0,0.0341448900388098
"160","Acacia_mooreana",0,0.053
"161","Acacia_mucronata",0,0.0167747712672767
"162","Acacia_multisiliqua",0,0.0278648648648648
"163","Acacia_mutabilis",0,0.0498977272727273
"164","Acacia_myrtifolia",0,0.0234486156148663
"165","Acacia_nanodealbata",0,0.016
"166","Acacia_neriifolia",0,0.0382949771689498
"167","Acacia_neriifolia",1,0.701
"168","Acacia_nervosa",0,0.053
"169","Acacia_neurocarpa",0,0.0322163461538462
"170","Acacia_nigricans",0,0.053
"171","Acacia_notabilis",0,0.0142759276879163
"172","Acacia_olgana",0,0.018045871559633
"173","Acacia_oncinocarpa",0,0.02
"174","Acacia_oshanesii",0,0.0401893939393939
"175","Acacia_oswaldii",0,0.0228680584551151
"176","Acacia_oxycedrus",0,0.0203386027536972
"177","Acacia_papyrocarpa",0,0.0170573543015726
"178","Acacia_paradoxa",0,0.0180821026541361
"179","Acacia_paradoxa",1,0.0621937984496124
"180","Acacia_parvipinnula",0,0.036
"181","Acacia_patagiata",0,0.053
"182","Acacia_pellita",0,0.02
"183","Acacia_pendula",0,0.0359384395132427
"184","Acacia_pentadenia",0,0.053
"185","Acacia_platycarpa",0,0.0283833464257659
"186","Acacia_plectocarpa",0,0.0273588456712672
"187","Acacia_podalyriifolia",0,0.0392619485294118
"188","Acacia_podalyriifolia",1,0.0778432055749128
"189","Acacia_polybotrya",0,0.0374375
"190","Acacia_polystachya",0,0.043
"191","Acacia_pravissima",0,0.0222397072278133
"192","Acacia_prominens",0,0.036
"193","Acacia_pubescens",0,0.036
"194","Acacia_pulchella",0,0.053
"195","Acacia_pycnantha",0,0.0158020546229016
"196","Acacia_pycnantha",1,0.125909333333333
"197","Acacia_pyrifolia",0,0.053
"198","Acacia_redolens",0,0.053
"199","Acacia_restiacea",0,0.053
"200","Acacia_retinodes",0,0.014
"201","Acacia_retinodes",1,0.114107142857143
"202","Acacia_rigens",0,0.0229381399317406
"203","Acacia_rossei",0,0.053
"204","Acacia_rostellifera",0,0.053
"205","Acacia_rothii",0,0.043
"206","Acacia_rubida",0,0.0314427812650894
"207","Acacia_salicina",0,0.0314746560463433
